Min of VSL_IMO_NUMBER,VSL_NAME,Average of BL Cons,Count of Type,Average of Tsw,BASE LINE BL Port FOC (MT/DAY),Vessel Type,Primary Manager,PotentialBL
9878022,Aberlour,0,42,26.238095238095237,0.72,Oil/Chem Tanker,SG SMC,0
9624380,Abram Schulte,0.0030719999999999996,50,29.66,0.912,Bulk Carrier,IN SMC,-122.88
9476599,Acacia,0.035688680176493084,60,30.45,0.77,Oil/Chem Tanker,SG SMC,-1713.0566484716678
9700067,Adam Schulte,0.06807272727272727,30,28.266666666666666,1,Bulk Carrier,IN SMC,-1633.7454545454545
9624768,Amelia,0.4175812012473811,53,26.90566037735849,1.1,Oil/Chem Tanker,SG SMC,-17705.44293288896
9331206,Andalucia Express,0,66,19.87878787878788,0.6,Oil/Chem Tanker,DE SMC,0
9660566,Anglo Barinthus,0.011355932203389832,59,10.745762711864407,0.7,Bulk Carrier,CYP SMC,-536
9599133,Anglo Cynosure,0.003404255319148936,47,10.53191489361702,0.7,Bulk Carrier,CYP SMC,-128
9520833,Anglo Marimar,0.006698292220113851,31,35.25806451612903,0.7,Bulk Carrier,CYP SMC,-166.11764705882354
9660578,Anglo Red,0,69,24.405797101449274,0.7,Bulk Carrier,CYP SMC,0
9440772,ANL Warrnambool,0.01037179008234931,29,24.551724137931036,1.3,Container,DE SMC,-240.625529910504
9806768,Anna Schulte,0,36,24.36111111111111,0.768,Bulk Carrier,HK SMC,0
9532771,APL Turkey,0.03361344537815126,17,16.941176470588236,,Container,DE SMC,-457.1428571428571
9789714,Aquarama,0.628715681804628,52,16.865384615384617,0.7670999999999999,Gas Carrier,GR SMC,-26154.572363072522
9878034,Ardmore,0.38319651932958226,29,27.75862068965517,0.72,Oil/Chem Tanker,SG SMC,-8890.159248446307
9878010,Arran,0.30954778249972753,35,28.82857142857143,0.72,Oil/Chem Tanker,SG SMC,-8667.337909992373
9309150,Asian Ace,0,32,27.8125,1,Container,SG SMC,0
9901415,Aspen Express,0,32,23.40625,0.65,Oil Tanker,SG SMC,0
9806782,Astrid Schulte,0.011406722689075631,50,21.26,0.768,Bulk Carrier,HK SMC,-456.2689075630252
9686388,Avance Levant,0,36,25.47222222222222,0.78,Oil/Chem Tanker,SG SMC,0
9362970,Baosteel Education,0,53,25.69811320754717,0.8,Bulk Carrier,IN SMC,0
9969168,Barism Alice,0.12926811594202897,60,18.466666666666665,0.459,Bulk Carrier,HK SMC,-6204.869565217391
9484546,Bernhard Schulte,0.020192,25,21.52,1.5,Container,SG SMC,-403.84
