VSL_IMO_NUMBER,VSL_NAME,Average of BL Cons,BASE LINE BL Port FOC (MT/DAY),Count of Type,Average of Tsw,Type,Primary Manager,Potential,Count of VSL_IMO_NUMBER
9942524,Levante LNG,0.013599059853873654,0.192,73,17.91780821917808,LNG Carrier,DE SMC,217069.1971561082,73
9426506,Endo Ponente,0.1,,2,17,Tanker,GR SMC,-1424,2
9923475,Proteus Rong Na,0.1,0.6,1,19,Tanker,SG SMC,2640,1
9460629,BTS Elizabeth,0.114560676523885,0.65,49,29.040816326530614,Tanker,SG SMC,-9997.631825255492,49
9886330,Bravewind,0.1536417450664333,0.13739999999999997,50,10.2,Other Dry,DE SMC,-44667.13402547854,50
9307437,BTS Camilla,0.20770274044348797,,51,28.313725490196077,Tanker,SG SMC,-57872.05669842714,51
9313096,Sriwangi II,0.2751096989186893,0.75,29,30.482758620689655,Tanker,SG SMC,-1021.1285196316577,29
9878060,Laphroaig,0.28,0.72,1,28,Tanker,SG SMC,80.00000000000007,1
9365972,CMA CGM Goya,0.29945708517859493,1,36,12.555555555555555,Container Ship,DE SMC,-41634.63629570799,36
9313101,Sriwangi,0.3483973805272147,0.75,29,31.413793103448278,Tanker,SG SMC,766.803587575455,29
9861172,Freya Schulte,0.430564426059302,0.7,49,28.897959183673468,Bulk Carrier,GR SMC,-18433.371065817864,49
9254941,Coral Shasta,0.4342907399966337,0.84,10,8.6,LPG Carrier,GR SMC,-25513.120310868828,10
9186687,Weser Stahl,0.4772838186944067,0.37,51,6.823529411764706,General Cargo Ship,IN SMC,35469.81027389029,51
9711755,Interlink Fortuity,0.49147684605757197,0.7,17,24.058823529411764,Bulk Carrier,HK SMC,3657.531914893617,17
9923401,Proteus Harvonne,0.5,0.6,1,20,Tanker,SG SMC,2640,1
9459577,Jane Asphalt,0.5403425592424518,0.72,17,29,Tanker,DE SMC,-2356.0307008745144,17
9568512,Sakura Crest,0.5550524799341428,0.6,2,33,Tanker,SG SMC,219.71928380325198,2
9331206,Andalucia Express,0.5635883673545765,0.6,20,20.75,Ro-Ro Ship,DE SMC,-34628.45196696304,20
9220794,Moritz Schulte,0.5716201517870291,0.84,42,12.238095238095237,LPG Carrier,IN SMC,-5177.598181385592,42
9568500,Sakura Belle,0.5727914454072589,0.6,18,26.833333333333332,Tanker,SG SMC,-22113.274072718887,18
9718387,True Nautilus,0.608,1.125,5,26,Bulk Carrier,SG SMC,-4696,5
9600839,SFL Yukon,0.6146352445553622,0.555,29,28.620689655172413,Bulk Carrier,SG SMC,-10055.594867935608,29
9861160,Franz Schulte,0.6157418879053792,0.7,42,21.666666666666668,Bulk Carrier,GR SMC,-20045.001844060556,42
9439852,Edzard Schulte,0.619132693415002,0.85,30,14.733333333333333,Tanker,CYP SMC,-14945.01836943334,30
9841940,Friedrich Schulte,0.6279587531868228,0.7,62,19.387096774193548,Bulk Carrier,HK SMC,-18608.872935149782,62
9812432,Longrow,0.6789140042843267,0.65,20,32.4,Tanker,SG SMC,-5623.437954605651,20
9851804,Golden Comfort,0.681353476821192,0.876,16,20,Bulk Carrier,SG SMC,-626.8609271523198,16
9966312,Nicolaus Schulte,0.6889737381262806,0.7,13,26.846153846153847,Bulk Carrier,CYP SMC,-7124.2615012106535,13
9624627,Nord Nanami,0.696917985426447,0.52,17,26.235294117647058,Bulk Carrier,HK SMC,-6881.354301572617,17
9425954,CLM Pearl,0.697010642712645,,38,30.026315789473685,Bulk Carrier,HK SMC,-66114.24947444754,38
9439864,Erika Schulte,0.7072838694789627,0.85,25,12.76,Tanker,CYP SMC,-6052.614081588748,25
9551777,Thekla Schulte,0.7073605613145022,0.744,32,14.96875,LPG Carrier,IN SMC,-13202.29441361476,32
9378773,Torero,0.7299834675228217,1.3,42,31.19047619047619,Tanker,SG SMC,8003.563254900623,42
9498119,Endo Gregale,0.7452826030593727,0.9,14,25,Tanker,GR SMC,-3842.4682395644277,14
9331191,Canarias Express,0.7452846459096457,0.6,11,19.727272727272727,Ro-Ro Ship,DE SMC,-8729.31929181929,11
9883780,Corn Rizhao,0.7523883885538021,0.9,21,28.333333333333332,Bulk Carrier,CN SMC,-9317.265471370736,21
9439840,Elisabeth Schulte,0.7527807709476376,0.85,47,11.574468085106384,Tanker,CYP SMC,-10664.378819873473,47
9841938,Flora Schulte,0.7613136630979396,0.7,48,26.75,Bulk Carrier,HK SMC,-20238.058349371517,48
9220809,Clamor Schulte,0.7766643129887078,0.84,47,13.51063829787234,LPG Carrier,IN SMC,-31331.839491650997,47
9553622,Theresa Schulte,0.7852883792304318,0.696,20,28.2,LPG Carrier,IN SMC,-3574.126145687621,20
9800116,Nordic Aqua,0.788675679951876,1.29,28,23.857142857142858,Tanker,SG SMC,-37638.36696663697,28
9721437,Interlink Celerity,0.8002086666898469,0.7,41,12.21951219512195,Bulk Carrier,HK SMC,-36146.06391699854,41
9271999,Moyra,0.8071530313579283,0.8,38,21.736842105263158,Tanker,DE SMC,-59245.58193734256,38
9667564,Monsoon,0.8082701149425288,0.78,6,26.5,LPG Carrier,SG SMC,-22984.496551724136,6
9395068,CMA CGM Callao,0.8095436247084848,1,37,26.972972972972972,Container Ship,DE SMC,-13795.81986459983,37
9665669,Christa Schulte,0.8097968691115515,1.5,19,23.57894736842105,Container Ship,HK SMC,-4336.315799461119,19
9842724,Golden Champion,0.8196164383561644,0.876,20,14.65,Bulk Carrier,SG SMC,5072.438356164382,20
9721425,Friederike Schulte,0.8236101538988382,0.7,25,21.32,Bulk Carrier,HK SMC,-20381.513043217845,25
9732242,Pacific Treasures,0.825,1.3,4,20,Tanker,SG SMC,719.9999999999995,4
9806782,Astrid Schulte,0.8298769168346648,0.768,30,19.166666666666668,Bulk Carrier,HK SMC,-17337.958393816705,30
9183570,Marianna 28,0.8308869141331966,0.45,34,26.41176470588235,LPG Carrier,SG SMC,7325.520595146997,34
9711767,Interlink Nobility,0.8322489659238589,0.7,57,26.666666666666668,Bulk Carrier,HK SMC,-32318.039139001303,57
9711779,Interlink Solidity,0.83404148301073,0.7,64,29.578125,Bulk Carrier,HK SMC,-31177.21799284662,64
9709221,Mai Tai,0.839987178256985,0.7,40,17.3,Bulk Carrier,CYP SMC,-2659.0508544634426,40
9969168,Barism Alice,0.8545401554404146,0.459,16,15.6875,Bulk Carrier,HK SMC,-5650.611398963731,16
9439826,Eva Schulte,0.8563032980421966,0.85,24,11.916666666666666,Tanker,CYP SMC,5947.561304973874,24
9617935,SFL Pearl,0.876240055103555,1.44,19,24.42105263157895,Bulk Carrier,SG SMC,-4237.179081324625,19
9854301,Golden Friend,0.8792260856622027,0.8,23,23.82608695652174,Bulk Carrier,SG SMC,-25910.303825661227,23
9328481,Gerhard Schulte,0.8871129033465716,1,20,13.5,Container Ship,CN SMC,-17653.686208334257,20
9235892,Petali,0.8978260869565212,0.9,92,18.41304347826087,Tanker,CYP SMC,-365280,92
9439814,Erin Schulte,0.9042455840333148,0.85,28,10.75,Tanker,CYP SMC,5758.003326737904,28
9407524,PPS Luck,0.9090952996827375,0.51,31,19.35483870967742,Bulk Carrier,IN SMC,-22273.139077049243,31
9294563,PIS Pioneer,0.915,3.24,20,25.65,Tanker,SG SMC,5600.000000000002,20
9624380,Abram Schulte,0.9241959482654328,0.912,36,29.305555555555557,Bulk Carrier,IN SMC,-61257.12280139645,36
9319545,Martini,0.925,1.074,4,25,Tanker,GR SMC,-8720,4
