Min of VSL_IMO_NUMBER,VSL_NAME,Average of AE Cons,BASE LINE AE Port FOC (MT/DAY),Count of Type,Average of Tsw,Median of ReeferOnboard,Vessel Type,Primary Manager,Potential
9619464,MSC Agadir,9.812890896028073,6.6,37,22.91891891891892,451,Container,IN SMC,-95101.57052243096
9605152,MSC Lagos X,9.700884361118163,5.8,36,18.63888888888889,318,Container,HK SMC,-112345.46960020317
9769295,One Tribute,6.758934936550196,4.7,23,16.347826086956523,298,Container,HK SMC,-37884.40283252358
9635688,SFL Maui,3.03976445635842,4.5,22,21.09090909090909,288,Container,SG SMC,25700.145568091793
9717228,Cap San Vincent,5.856687427000919,5.2,15,19.733333333333334,250,Container,SG SMC,-7880.249124011004
9531909,Hans Schulte,6.778020410278497,4,41,29.048780487804876,234,Container,IN SMC,-91119.06945713471
9743497,Matthew Schulte,4.709865134549839,2.3,24,19.333333333333332,228,Container,HK SMC,-46269.41058335692
9769300,One Tradition,4.914892045022455,4.7,22,17.09090909090909,227,Container,HK SMC,-3782.09999239521
9717204,Cap San Juan,3.7051816831578077,5.2,16,18,219,Container,SG SMC,19133.67445558006
9440772,ANL Warrnambool,2.445054356204989,3.5,16,16.5,215,Container,DE SMC,13503.304240576137
9850795,EVER FIT,6.303544503221329,8.4,21,23.19047619047619,205,Container,HK SMC,35220.452345881684
9698642,San Fernando,7.313864889543821,6.8,16,26.375,193,Container,SG SMC,-6577.470586160931
9850800,EVER FAME,5.862460885807253,8.4,22,18.454545454545453,167,Container,HK SMC,44660.68840979235
9605231,MSC Dakar X,10.050268075231592,5.8,27,18.51851851851852,165,Container,HK SMC,-91805.79042500247
9301926,Lucie Schulte,3.0098745550408283,2.5,20,21.65,155,Container,GR SMC,-8157.992880653251
9377133,CMA CGM Semarang,2.5035759978562857,2.9,32,16.34375,151,Container,DE SMC,10148.454454879095
9694438,Majestic,4.097492818253797,2.3,20,22.15,149,Container,CYP SMC,-28759.88509206075
9676709,Mathilde Schulte,3.516973262617495,2.3,27,18.703703703703702,134,Container,HK SMC,-26286.62247253788
9567661,Seroja Lima,4.966039570193148,5.6,31,19.451612903225808,119,Container,HK SMC,15722.218659209966
9306158,Chennai Express,4.200614915283636,5.4,36,16,108,Container,DE SMC,34542.29043983126
9248124,CMA CGM Puget,5.507029330556912,4.39,24,22.833333333333332,106,Container,DE SMC,-21446.96314669272
9694426,Mieke Schulte,5.057273804389266,2.3,37,24.16216216216216,106,Container,CYP SMC,-81615.30460992228
9698654,San Francisca,6.6432585513669,3.4,19,26.31578947368421,99,Container,SG SMC,-49297.529980776875
9302944,Margarete Schulte,4.056107249339759,2.5,15,22.6,98,Container,IN SMC,-18673.286992077115
9623673,RDO Fortune,4.312364649794721,4.6,30,21.433333333333334,89,Container,DE SMC,6903.248404926677
9215323,W Kithira,6.6333267503237465,5.6,17,20.529411764705884,89,Container,CYP SMC,-14053.243804402957
9211494,W Kyrenia,6.185802121785403,5.6,22,23.681818181818183,89,Container,CYP SMC,-10310.117343423086
9811000,Ever Given,6.535400974511178,5.5,28,12.357142857142858,85,Container,HK SMC,-23192.98182905041
9665657,Charlotte Schulte,3.628127437197328,3.9,30,21.233333333333334,80,Container,HK SMC,6524.941507264106
9623661,RDO Favour,3.7848285621107514,4.6,24,28.041666666666668,70,Container,DE SMC,15651.291607473564
9665683,Carl Schulte,3.7973504675562033,3.9,19,21.68421052631579,67,Container,HK SMC,1560.27289314571
9665669,Christa Schulte,4.185283934175073,3.9,19,23.57894736842105,67,Container,HK SMC,-4336.315799461119
9436422,CMA CGM Ambarli,5.507534504237275,3.5,43,16.813953488372093,67,Container,DE SMC,-69059.18694576224
