Min of VSL_IMO_NUMBER,VSL_NAME,Average of AE Cons,BASE LINE AE Sea FOC (MT/DAY),Count of Type,Average of Tsw,Median of ReeferOnboard,Primary Manager,First Type
9635688,SFL Maui,4.039277018633539,6.1,14,20.428571428571427,736,SG SMC,Container Ship
9619464,MSC Agadir,11.859396721663215,12,10,20.6,571,IN SMC,Container Ship
9723241,Czech,6.666461513199444,9,12,21.333333333333332,535,CN SMC,Container Ship
9302944,Margarete Schulte,3.216237295757777,4.1,31,21,499,IN SMC,Container Ship
9717204,Cap San Juan,7.045210012983102,7.4,22,19.272727272727273,438,SG SMC,Container Ship
9717228,Cap San Vincent,7.458167719694493,7.4,22,21.59090909090909,346,SG SMC,Container Ship
9811000,Ever Given,9.09729769820972,8.9,10,16,291,HK SMC,Container Ship
9440772,ANL Warrnambool,4.486611787237161,5.2,20,22.8,274,DE SMC,Container Ship
9301926,Lucie Schulte,3.6431723530680102,4.1,38,24.18421052631579,248,GR SMC,Container Ship
9605152,MSC Lagos X,9.960843076923076,9.6,5,19.4,239,HK SMC,Container Ship
9224520,Wan Hai 613,6.681249831108761,6.6,25,24,238,CN SMC,Container Ship
9769300,One Tradition,8.8848,8.8,1,26,236,HK SMC,Container Ship
9215323,W Kithira,8.165266358527605,7.8,21,22.523809523809526,217,CYP SMC,Container Ship
9850795,EVER FIT,9.804014684569479,10.4,48,20.708333333333332,209,HK SMC,Container Ship
9698642,San Fernando,10.778879803579256,13,47,23.893617021276597,207,SG SMC,Container Ship
9535204,Hubert Schulte,4.845296703277829,5.1,24,20.625,204,HK SMC,Container Ship
9306158,Chennai Express,6.354177102528692,7.4,25,17.64,199,DE SMC,Container Ship
9248124,CMA CGM Puget,5.7112,5.69,2,23.5,197,DE SMC,Container Ship
9717216,Cap San Lazaro,7.5474808587547715,7.4,20,18.7,192,SG SMC,Container Ship
9694438,Majestic,3.898467255953961,3.6,52,22.173076923076923,151,CYP SMC,Container Ship
9694426,Mieke Schulte,3.5221353959930446,3.6,27,24.25925925925926,146,CYP SMC,Container Ship
9211494,W Kyrenia,6.726216304347825,7.8,16,22,140,CYP SMC,Container Ship
9377133,CMA CGM Semarang,2.4814752816163317,3.7,25,17.04,128,DE SMC,Container Ship
9215311,W Kampala,6.421655590999169,7.8,23,18.043478260869566,122,CYP SMC,Container Ship
9567661,Seroja Lima,6.397929963154016,8,10,24.4,119,HK SMC,Container Ship
9224518,Wan Hai 612,6.744973752638659,6.6,,21.512820512820515,113,CN SMC,
9605231,MSC Dakar X,9.902222837268956,9.6,8,17.5,106,HK SMC,Container Ship
9326407,Wan Hai 507,5.100612848105321,5.1,32,29.09375,90,CN SMC,Container Ship
9484546,Bernhard Schulte,4.441240970234856,5.6,25,21.52,88,SG SMC,Container Ship
9665657,Charlotte Schulte,4.7165908421204685,4.7,43,27.511627906976745,86,HK SMC,Container Ship
9850800,EVER FAME,9.04610633610829,10.4,49,19.306122448979593,83,HK SMC,Container Ship
9623673,RDO Fortune,5.179106741100809,4.8,33,24.606060606060606,80,DE SMC,Container Ship
9365972,CMA CGM Goya,0.07335793531545842,,10,12,76,DE SMC,Container Ship
9436422,CMA CGM Ambarli,6.308962961619155,6.2,18,18.333333333333332,73,DE SMC,Container Ship
9698654,San Francisca,6.576523943661972,6.5,1,20,69,SG SMC,Container Ship
9676709,Mathilde Schulte,3.65612260322511,3.6,17,19.352941176470587,68,HK SMC,Container Ship
9694402,Meridian,3.2391214375230555,3.6,25,29.32,66,CYP SMC,Container Ship
9623661,RDO Favour,4.041862837684888,4.8,23,30.217391304347824,66,DE SMC,Container Ship
9301938,Hannah Schulte,4.635834399108598,4.1,10,27.2,66,GR SMC,Container Ship
9224506,Wan Hai 611,6.060690181444784,6.6,46,26.17391304347826,64,CN SMC,Container Ship
9340752,Phen Basin,5.224872087588817,4.9,9,21.77777777777778,64,CYP SMC,Container Ship
9555101,Wan Hai A08,5.9495283674495445,7,52,26.03846153846154,63,CN SMC,Container Ship
9342700,Wan Hai 316,4.1632272402439625,3.6,13,24.076923076923077,61,CN SMC,Container Ship
9728253,Maersk Shivling,6.773908695652175,6,12,11.25,60,CYP SMC,Container Ship
9743497,Matthew Schulte,3.7719838518458477,3.6,11,18.09090909090909,60,HK SMC,Container Ship
9328481,Gerhard Schulte,2.95985716365275,6,48,12.3125,58,CN SMC,Container Ship
9631113,Lyme Bay,4.448400350569677,4.8,7,24.285714285714285,56,DE SMC,Container Ship
9665669,Christa Schulte,4.39911198180381,4.7,51,17.294117647058822,53,HK SMC,Container Ship
9560376,San Diego Bridge,5.318306429475834,7.4,26,12.615384615384615,52,HK SMC,Container Ship
9550307,CMA CGM Nacala,2.356423558768425,1.9,20,26.45,48,DE SMC,Container Ship
9555096,Wan Hai A07,7.184023315710653,7,32,26.28125,46,CN SMC,Container Ship
9307035,Wan Hai 622,6.494297093392061,6.5,36,27.22222222222222,46,CN SMC,Container Ship
9362736,CMA CGM Cebu,3.452363719039849,2.8,27,25.74074074074074,39,DE SMC,Container Ship
9342712,Wan Hai 317,3.4374231080664948,3.6,48,25.875,38,CN SMC,Container Ship
9326419,Wan Hai 508,5.131090818295141,5.1,28,22.571428571428573,36,CN SMC,Container Ship
9535163,Henrika Schulte,4.915894688301782,5.1,32,20.625,33,HK SMC,Container Ship
9619476,MSC Antigua,10.522257971014497,12,34,26.58823529411765,33,IN SMC,Container Ship
9294886,Wan Hai 506,5.108112715212296,5.1,42,26.80952380952381,31,CN SMC,Container Ship
9211482,W Klaipeda,8.036822863054443,7.8,22,22.772727272727273,30,CYP SMC,Container Ship
9326433,Wan Hai 510,3.901887009952524,5.1,41,25.829268292682926,26,CN SMC,Container Ship
9786085,Maersk Zambezi,4.335577194672336,4.6,22,25.454545454545453,26,CYP SMC,Container Ship
9676723,Melchior Schulte,3.1544365774536733,3.6,48,20.979166666666668,23,HK SMC,Container Ship
9531909,Hans Schulte,5.96780652173913,5.1,8,29.125,22,IN SMC,Container Ship
9298997,Wan Hai 625,5.625006342325873,6.2,49,21.285714285714285,20,CN SMC,Container Ship
9665683,Carl Schulte,4.358960993975657,4.7,45,20.822222222222223,20,HK SMC,Container Ship
9309150,Asian Ace,2.8668879986526434,3.2,31,27.93548387096774,20,SG SMC,Container Ship
9665671,Clemens Schulte,4.0310746659607615,4.7,43,21.651162790697676,18,HK SMC,Container Ship
9535187,Hermann Schulte,4.316621118012422,5.1,7,22,18,HK SMC,Container Ship
9740457,Maersk Skarstind,7.458755466474802,7.8,48,21.020833333333332,15,SG SMC,Container Ship
9395094,CMA CGM Arica,2.5404749712804446,2.7,56,28.071428571428573,14,DE SMC,Container Ship
9732591,Maersk Sarat,7.780114152349529,7.8,38,23.81578947368421,13,SG SMC,Container Ship
9321017,Wan Hai 623,6.434257320319432,6.5,42,21.071428571428573,12,CN SMC,Container Ship
9301433,CMA CGM Malta,4.173757418941195,4.5,12,22,10,DE SMC,Container Ship
9275050,CMA CGM Puerto Antioquia,4.104690037705722,4.5,23,28.47826086956522,10,DE SMC,Container Ship
9532771,APL Turkey,6.1947393728222995,6,2,18.5,10,DE SMC,Container Ship
9743473,Mimmi Schulte,3.1227984729207514,3.6,27,20.074074074074073,9,HK SMC,Container Ship
9958535,CUL Klang,3.863179715724102,3.2,34,26.970588235294116,8,CN SMC,Container Ship
9395068,CMA CGM Callao,2.4283253200798773,2.7,52,27,8,DE SMC,Container Ship
9958523,CUL Qingdao,3.545576030298512,3.2,66,27.636363636363637,6,CN SMC,Container Ship
9706279,CNC Bangkok,3.7486028332663026,3.3,24,28.583333333333332,6,DE SMC,Container Ship
9676735,Mia Schulte,2.8688336407823254,3.6,32,15.53125,4,HK SMC,Container Ship
9743485,Molly Schulte,3.2997115987460814,3.6,4,28.25,3,HK SMC,Container Ship
9676711,Max Schulte,3.8939225368981116,3.6,18,26.166666666666668,2,HK SMC,Container Ship
9297474,Lady Jane,6.409217950013374,6,22,26.181818181818183,2,CYP SMC,Container Ship
9694414,Mariner,3.211930334067265,3.6,32,27.03125,2,CYP SMC,Container Ship
9302956,CMA CGM Beira,4.230238638736633,4.1,19,27.05263157894737,1,DE SMC,Container Ship
9883780,Corn Rizhao,2.6022854886615097,2.3,65,23.6,0,CN SMC,Bulk Carrier
9328493,Gottfried Schulte,6.194070041956533,6,7,28.571428571428573,0,CN SMC,Container Ship
9542489,ROSCO Banyan,1.8642559287901002,1.5,66,21.59090909090909,0,CN SMC,Bulk Carrier
9971484,Shine Agate,2.167186695761963,1.5,49,18.122448979591837,0,CN SMC,Bulk Carrier
9971458,Shine Amber,2.4115077124507343,1.5,47,29.97872340425532,0,CN SMC,Bulk Carrier
9971460,Shine Coral,2.4798267912020675,1.5,51,27.568627450980394,0,CN SMC,Bulk Carrier
9660566,Anglo Barinthus,3.1599799798895734,3,58,10.741379310344827,0,CYP SMC,Bulk Carrier
9599133,Anglo Cynosure,1.648603328991171,2.6,47,10.53191489361702,0,CYP SMC,Bulk Carrier
9520833,Anglo Marimar,2.309643559626048,2.6,31,35.25806451612903,0,CYP SMC,Bulk Carrier
9660578,Anglo Red,2.7032274157164493,3,67,24.567164179104477,0,CYP SMC,Bulk Carrier
9714769,Caipirinha,2.3181828177284216,2.3,62,23.838709677419356,0,CYP SMC,Bulk Carrier
9545285,Duke I,2.481304347826087,1.5,9,28.88888888888889,0,CYP SMC,Bulk Carrier
9439852,Edzard Schulte,1.3432768755979407,2.1,23,15.26086956521739,0,CYP SMC,Tanker
9439840,Elisabeth Schulte,1.4420171673616293,2.1,29,11.827586206896552,0,CYP SMC,Tanker
9439876,Elisalex Schulte,1.497062811195773,2.1,10,12.5,0,CYP SMC,Tanker
9394519,Emmy Schulte,1.5418595612505872,2.1,18,11.666666666666666,0,CYP SMC,Tanker
9439864,Erika Schulte,1.390111833920617,2.1,40,13.9,0,CYP SMC,Tanker
9439814,Erin Schulte,1.108948310825863,2.1,14,7.428571428571429,0,CYP SMC,Tanker
9439826,Eva Schulte,1.2141651913956102,2.1,15,9.933333333333334,0,CYP SMC,Tanker
9439838,Everhard Schulte,1.8499023269291466,2.1,26,29.076923076923077,0,CYP SMC,Tanker
9709221,Mai Tai,1.8961438886278683,2.3,31,18.838709677419356,0,CYP SMC,Bulk Carrier
9375939,NGM Panther,2.368991113351043,2.1,70,29.757142857142856,0,CYP SMC,Bulk Carrier
