VSL_IMO_NUMBER,VSL_NAME,Average of BL Cons,Count of Type,Average of Tsw,BASE LINE BL Port FOC (MT/DAY),Vessel Type,Primary Manager,PotentialBL
9878022,Aberlour,0,42,26.23809524,0.72,Oil/Chem Tanker,SG SMC,0
9624380,Abram Schulte,0.003072,50,29.66,0.912,Bulk Carrier,IN SMC,-122.88
9476599,Acacia,0.03568868,60,30.45,0.77,Oil/Chem Tanker,SG SMC,-1713.056648
9700067,Adam Schulte,0.068072727,30,28.26666667,1,Bulk Carrier,IN SMC,-1633.745455
9624768,Amelia,0.417581201,53,26.90566038,1.1,Oil/Chem Tanker,SG SMC,-17705.44293
9331206,Andalucia Express,0,66,19.87878788,0.6,Oil/Chem Tanker,DE SMC,0
9660566,Anglo Barinthus,0.011355932,59,10.74576271,0.7,Bulk Carrier,CYP SMC,-536
9599133,Anglo Cynosure,0.003404255,47,10.53191489,0.7,Bulk Carrier,CYP SMC,-128
9520833,Anglo Marimar,0.006698292,31,35.25806452,0.7,Bulk Carrier,CYP SMC,-166.1176471
9660578,Anglo Red,0,69,24.4057971,0.7,Bulk Carrier,CYP SMC,0
9440772,ANL Warrnambool,0.01037179,29,24.55172414,1.3,Container,DE SMC,-240.6255299
9806768,Anna Schulte,0,36,24.36111111,0.768,Bulk Carrier,HK SMC,0
9532771,APL Turkey,0.033613445,17,16.94117647,,Container,DE SMC,-457.1428571
9789714,Aquarama,0.628715682,52,16.86538462,0.7671,Gas Carrier,GR SMC,-26154.57236
9878034,Ardmore,0.383196519,29,27.75862069,0.72,Oil/Chem Tanker,SG SMC,-8890.159248
9878010,Arran,0.309547782,35,28.82857143,0.72,Oil/Chem Tanker,SG SMC,-8667.33791
9309150,Asian Ace,0,32,27.8125,1,Container,SG SMC,0
9901415,Aspen Express,0,32,23.40625,0.65,Oil Tanker,SG SMC,0
9806782,Astrid Schulte,0.011406723,50,21.26,0.768,Bulk Carrier,HK SMC,-456.2689076
9686388,Avance Levant,0,36,25.47222222,0.78,Oil/Chem Tanker,SG SMC,0
9362970,Baosteel Education,0,53,25.69811321,0.8,Bulk Carrier,IN SMC,0
9969168,Barism Alice,0.129268116,60,18.46666667,0.459,Bulk Carrier,HK SMC,-6204.869565
9484546,Bernhard Schulte,0.020192,25,21.52,1.5,Container,SG SMC,-403.84
9858797,Bowmore,0.693088538,31,29.58064516,0.72,Oil/Chem Tanker,SG SMC,-17188.59574
9674842,Breeze,0.684744038,37,23.08108108,0.78,Oil/Chem Tanker,SG SMC,-20268.42353
9307437,BTS Camilla,0,3,29,,Oil/Chem Tanker,SG SMC,0
9460629,BTS Elizabeth,0,5,29,0.65,Oil/Chem Tanker,SG SMC,0
9714769,Caipirinha,0.004032258,62,23.83870968,0.7,Bulk Carrier,CYP SMC,-200
9331191,Canarias Express,0,67,20.23880597,0.6,Oil/Chem Tanker,DE SMC,0
9717204,Cap San Juan,0.006367347,60,22.9,2.5,Container,SG SMC,-305.6326531
9717216,Cap San Lazaro,0,54,22.94444444,2.5,Container,SG SMC,0
9717228,Cap San Vincent,0.001818182,55,24.52727273,2.5,Container,SG SMC,-80
9665683,Carl Schulte,0.008844896,45,20.82222222,1.5,Container,HK SMC,-318.4162437
9383895,Central,0,7,29.71428571,0.81,Chem oil/ Tanker,IN SMC,0
9333278,Challenge Prelude,0.72824019,29,32.37931034,1.6,Oil/Chem Tanker,SG SMC,-16895.17241
9665657,Charlotte Schulte,0.000970677,43,27.51162791,1.5,Container,HK SMC,-33.39130435
9804904,Chemstar Sapphire,0.563406291,53,19.52830189,1.6575,Oil/Chem Tanker,SG SMC,-23888.42673
9306158,Chennai Express,0.066782609,25,17.64,2,Container,DE SMC,-1335.652174
9665669,Christa Schulte,0.003643725,52,17.5,1.5,Container,HK SMC,-151.5789474
9368778,Christoph Schulte,0.004092072,51,19.62745098,0.672,Gas Carrier,SG SMC,-166.9565217
9220809,Clamor Schulte,0.01402327,23,13.34782609,0.84,Gas Tanker,IN SMC,-258.028169
9665671,Clemens Schulte,0,43,21.65116279,1.5,Container,HK SMC,0
9425954,CLM Pearl,0,37,31.27027027,,Bulk Carrier,HK SMC,0
9436422,CMA CGM Ambarli,0.066,20,18.6,1,Container,DE SMC,-1056
9395094,CMA CGM Arica,0.014010989,56,28.07142857,1,Container,DE SMC,-627.6923077
9302956,CMA CGM Beira,0.031895111,28,26.42857143,1,Container,DE SMC,-714.4504909
9395068,CMA CGM Callao,0,53,26.98113208,1,Container,DE SMC,0
9362736,CMA CGM Cebu,0.072366465,44,25.81818182,1,Container,DE SMC,-2547.299556
9365972,CMA CGM Goya,0,43,14.51162791,1,Container,DE SMC,0
9694555,CMA CGM Lekki,0,13,20.84615385,1.5,Container,DE SMC,0
9301433,CMA CGM Malta,0.050974827,18,22.61111111,1,Container,DE SMC,-734.0375116
9550307,CMA CGM Nacala,0,37,26.83783784,1,Container,DE SMC,0
9275050,CMA CGM Puerto Antioquia,0,23,28.47826087,1,Container,DE SMC,0
9248124,CMA CGM Puget,0.521866667,6,24.66666667,1.5,Container,DE SMC,-2504.96
9377133,CMA CGM Semarang,0.019185185,25,17.04,1,Container,DE SMC,-383.7037037
9706279,CNC Bangkok,0.063373262,43,28.46511628,1,Container,DE SMC,-2180.040207
9254941,Coral Shasta,0.01962309,25,12.08,0.84,Oil/Chem Tanker,GR SMC,-392.4617997
9883780,Corn Rizhao,0,65,23.6,0.9,Bulk Carrier,CN SMC,0
9899480,CS Hu Bei,0.089189189,37,24.94594595,0.6,Oil/Chem Tanker,IN SMC,-2640
9899478,CS Zhe Jiang,0.090909091,33,27.81818182,0.6,Oil/Chem Tanker,IN SMC,-2400
9958535,CUL Klang,0,37,26.78378378,1,Container,CN SMC,0
9958523,CUL Qingdao,0.013716108,66,27.63636364,1,Container,CN SMC,-724.2105263
9723241,Czech,0.041313782,41,21.19512195,2.5,Container,CN SMC,-1355.092054
9409493,Diamond Express,0.385704419,32,27.34375,1.3,Oli/Chem,SG SMC,-9874.033119
9624005,Donata Schulte,0.081033204,24,11.70833333,0.816,Gas Carrier,IN SMC,-1555.837514
9618862,Dorothea Schulte,0.129405638,34,14.94117647,0.816,Gas Tanker,IN SMC,-3519.833341
9337975,Duhail,0.028855778,70,27.8,,LNG Carrier,PRONAV,-1615.923572
9545285,Duke I,0,75,25.86666667,0.8,Bulk Carrier,CYP SMC,0
9439852,Edzard Schulte,0.071236715,27,15.07407407,0.85,Chemical/Oil Tanker ,CYP SMC,-1538.713035
9393955,EKO 2,0,26,19,,Oil/Chem Tanker,GR SMC,0
9439840,Elisabeth Schulte,0,32,11.75,0.85,Chemical/Oil Tanker ,CYP SMC,0
9439876,Elisalex Schulte,1.822303417,22,12.31818182,0.85,Chemical/Oil Tanker ,CYP SMC,-32072.54014
9307994,ELLIE M II,0.015513898,17,28,0.9,Oil/Chem,IN SMC,-210.989011
9394519,Emmy Schulte,1.040293376,27,11.81481481,0.85,Chemical/Oil Tanker ,CYP SMC,-22470.33691
9498119,Endo Gregale,0.570798393,71,27.30985915,0.9,Oil/Chem Tanker,GR SMC,-32421.34872
9426506,Endo Ponente,0.013160771,48,19.6875,,Oil Tanker,GR SMC,-505.3736183
9407031,Eonia,0,28,30.21428571,1.26,Tanker,SG SMC,0
9439864,Erika Schulte,0,42,13.66666667,0.85,Chemical/Oil Tanker ,CYP SMC,0
9439814,Erin Schulte,0.895438866,23,7.913043478,0.85,Chemical/Oil Tanker ,CYP SMC,-16476.07513
9439826,Eva Schulte,1.095889716,25,10.64,0.85,Chemical/Oil Tanker ,CYP SMC,-21917.79432
9850800,EVER FAME,0.002040816,49,19.30612245,2.5,Container,HK SMC,-80
9850795,EVER FIT,0.007859532,52,21,2.5,Container,HK SMC,-326.9565217
9811000,Ever Given,0,38,20.13157895,2.5,Container,HK SMC,0
9439838,Everhard Schulte,0.685824714,30,29.1,0.85,Chemical/Oil Tanker ,CYP SMC,-16459.79314
